,Episode Name,Series Name,Season,Watch_Date,Watch_Time
117,Your Honor,Brooklyn Nine-Nine,4.0,2021-11-25,23:17:00
118,Selling Sunset vs. Bling Empire and Pentatonix vs. Wilson Philips,Celebrity Family Feud,7.0,2021-11-24,04:02:00
119,Finale,Dancing With the Stars,30.0,2021-11-24,04:02:00
120,Simu Liu,Saturday Night Live,47.0,2021-11-23,19:35:00
121,Children of God,Cults and Extreme Belief,1.0,2021-11-23,02:41:00
122,Cold Case Files: A Killer Slips ,Cold Case Files,1.0,2021-11-23,02:41:00
124,Jehovah's Witnesses,Cults and Extreme Belief,1.0,2021-11-22,13:55:00
125,NXIVM,Cults and Extreme Belief,1.0,2021-11-22,00:39:00
126,The People vs. Purdue Pharma,Dopesick,1.0,2021-11-20,05:24:00
127,The Great,The Great,1.0,2021-11-20,02:33:00
128,Group B Semi-Final,The Masked Singer,6.0,2021-11-19,04:13:00
129,Who Created Von Dutch?,The Curse of Von Dutch: A Brand to Die For,1.0,2021-11-19,00:56:00
130,Semi-Finals,Dancing With the Stars,30.0,2021-11-17,01:09:00
131,Toxic Love,ABC 20/20,40.0,2021-11-16,01:32:00
132,Black Box Warning,Dopesick,1.0,2021-11-15,15:28:00
133,Jonathan Majors,Saturday Night Live,47.0,2021-11-14,18:29:00
134,Group a Semi-Final,The Masked Singer,6.0,2021-11-12,00:58:00
135,Steroids,Trafficked with Mariana van Zeller,1.0,2021-11-11,00:55:00
136,Janet Jackson Night,Dancing With the Stars,30.0,2021-11-10,23:36:00
137,Kim Kardashian West,Saturday Night Live,47.0,2021-11-07,15:43:00
138,Kieran Culkin,Saturday Night Live,47.0,2021-11-07,15:41:00
139,Hammer the Abusers,Dopesick,1.0,2021-11-07,02:15:00
140,"Coral Palms, Part 2",Brooklyn Nine-Nine,4.0,2021-11-05,02:02:00
141,Queen Night,Dancing With the Stars,30.0,2021-11-03,00:37:00
142,Bureau,Brooklyn Nine-Nine,3.0,2021-11-01,19:52:00
143,BA’AL,American Horror Stories,1.0,2021-11-01,00:58:00
144,Drive In,American Horror Stories,1.0,2021-10-31,23:40:00
145,Rubber(wo)Man Part Two,American Horror Stories,1.0,2021-10-30,19:28:00
146,Rubber(wo)Man Part One,American Horror Stories,1.0,2021-10-30,18:26:00
147,The Whistleblower,Dopesick,1.0,2021-10-30,04:18:00
148,Jason Sudeikis,Saturday Night Live,47.0,2021-10-30,01:57:00
149,All-Time Countdown,The Masked Singer,6.0,2021-10-30,00:49:00
150,Pseudo-Addiction,Dopesick,1.0,2021-10-29,03:11:00
151,Horror Night,Dancing With the Stars,30.0,2021-10-27,01:16:00
152,The 5th Vital Sign,Dopesick,1.0,2021-10-25,02:30:00
153,Rock Hard,Family Guy,20.0,2021-10-24,23:12:00
154,LASIK Instinct,Family Guy,20.0,2021-10-24,22:56:00
155,Breakthrough Pain,Dopesick,1.0,2021-10-24,03:14:00
156,First Bottle,Dopesick,1.0,2021-10-23,19:00:00
157,Death Has a Shadow,Family Guy,1.0,2021-10-22,21:32:00
158,The Wilderness,The Handmaid's Tale,4.0,2021-10-20,07:34:00
159,Open and Shut,Only Murders in the Building,1.0,2021-10-20,02:55:00
160,Grease Night,Dancing With the Stars,30.0,2021-10-20,01:46:00
161,Progress,The Handmaid's Tale,4.0,2021-10-19,08:07:00
162,Rami Malek,Saturday Night Live,47.0,2021-10-17,22:00:00
163,Date Night,The Masked Singer,6.0,2021-10-16,01:21:00
164,Mask-Matics: Group B Playoffs,The Masked Singer,3.0,2021-10-16,00:09:00
165,Double Time,Only Murders in the Building,1.0,2021-10-15,02:54:00
166,Kansas vs. #11 Baylor (W Volleyball),Women's College Volleyball,0.0,2021-10-15,01:07:00
167,Disney Week: Villains Night,Dancing With the Stars,30.0,2021-10-13,23:58:00
168,Disney Week: Heroes Night,Dancing With the Stars,30.0,2021-10-13,00:41:00
169,A Brand New Six Pack: Group B Kickoff!,The Masked Singer,3.0,2021-10-12,17:59:00
170,Masking for a Friend: Group A,The Masked Singer,3.0,2021-10-12,01:43:00
171,The Playoffs: Group A,The Masked Singer,3.0,2021-10-11,23:01:00
172,The Season Kick off Mask Off: Group A,The Masked Singer,3.0,2021-10-11,22:09:00
174,Chippendales Murder,ABC 20/20,44.0,2021-10-10,13:41:00
175,Testimony,The Handmaid's Tale,4.0,2021-10-06,04:49:00
176,Fan Fiction,Only Murders in the Building,1.0,2021-10-06,02:29:00
177,Britney Night,Dancing With the Stars,30.0,2021-10-06,02:19:00
178,Home,The Handmaid's Tale,4.0,2021-10-03,06:47:00
179,Vows,The Handmaid's Tale,4.0,2021-10-03,05:15:00
180,Chicago,The Handmaid's Tale,4.0,2021-10-03,04:14:00
181,Milk,The Handmaid's Tale,4.0,2021-10-02,07:13:00
182,The Crossing,The Handmaid's Tale,4.0,2021-10-01,07:22:00
183,Nightshade,The Handmaid's Tale,4.0,2021-10-01,06:16:00
184,The Auditions Begin,Alter Ego,1.0,2021-10-01,02:03:00
185,Group B Premiere,The Masked Singer,6.0,2021-10-01,02:03:00
186,Pigs,The Handmaid's Tale,4.0,2021-09-30,09:01:00
187,Mayday,The Handmaid's Tale,3.0,2021-09-30,07:54:00
188,Sacrifice,The Handmaid's Tale,3.0,2021-09-30,06:23:00
189,The Boy from 6B,Only Murders in the Building,1.0,2021-09-30,02:33:00
190,First Elimination,Dancing With the Stars,30.0,2021-09-29,01:13:00
191,"2 Night Season Premiere, Part ",The Masked Singer,6.0,2021-09-28,02:01:00
193,"2 Night Season Premiere, Part ",The Masked Singer,6.0,2021-09-28,01:05:00
195,Career Days,This Is Us,1.0,2021-09-24,23:46:00
196,Ever After,Nine Perfect Strangers,1.0,2021-09-24,03:10:00
197,The Game Plan,This Is Us,1.0,2021-09-23,23:32:00
198,To Protect and Serve,Only Murders in the Building,1.0,2021-09-22,02:59:00
199,Season 30 Premiere,Dancing With the Stars,30.0,2021-09-21,23:53:00
200,Master Build - Day & Night,Lego Masters,2.0,2021-09-19,20:33:00
201,Move Fast & Vape Things,The New York Times Presents,1.0,2021-09-19,19:47:00
202,Twist,Only Murders in the Building,1.0,2021-09-17,21:19:00
203,The Sting,Only Murders in the Building,1.0,2021-09-17,19:37:00
204,The Pool,This Is Us,1.0,2021-09-17,00:05:00
205,How Well Do You Know Your Neighbors?,Only Murders in the Building,1.0,2021-09-16,03:16:00
206,Wheels on the Bus,Nine Perfect Strangers,1.0,2021-09-16,02:37:00
207,Kyle,This Is Us,1.0,2021-09-15,23:16:00
208,Who Is Tim Kono?,Only Murders in the Building,1.0,2021-09-15,03:13:00
209,True Crime,Only Murders in the Building,1.0,2021-09-15,02:38:00
210,National Finals 3,American Ninja Warrior,13.0,2021-09-15,01:59:00
211,The Big Three,This Is Us,1.0,2021-09-14,23:42:00
212,Series Premiere,This Is Us,1.0,2021-09-13,23:29:00
213,Motherlode,Nine Perfect Strangers,1.0,2021-09-10,19:31:00
214,Sweet Surrender,Nine Perfect Strangers,1.0,2021-09-10,02:48:00
215,Brave New World,Nine Perfect Strangers,1.0,2021-09-09,03:32:00
216,Semi-Finals 1,America's Got Talent,16.0,2021-09-08,23:45:00
217,Earth Day,Nine Perfect Strangers,1.0,2021-09-08,23:44:00
218,Cliffhanger!,Lego Masters,2.0,2021-09-08,23:42:00
219,The Critical Path,Nine Perfect Strangers,1.0,2021-09-08,03:44:00
220,National Finals 2,American Ninja Warrior,13.0,2021-09-08,02:49:00
221,Random Acts of Mayhem,Nine Perfect Strangers,1.0,2021-09-08,02:22:00
222,Grabbing at Smoke,Sasquatch,1.0,2021-09-06,18:38:00
223,Flip My Block,Lego Masters,2.0,2021-09-05,02:13:00
224,Land & Sea,Lego Masters,2.0,2021-09-01,00:09:00
225,Shed Hack,Making It,3.0,2021-08-28,02:23:00
226,Quarterfinals 2,America's Got Talent,16.0,2021-08-25,01:56:00
227,Semifinals 3,American Ninja Warrior,13.0,2021-08-22,05:04:00
228,Puppet Masters,Lego Masters,2.0,2021-08-22,02:26:00
229,Take It Out Back,Making It,3.0,2021-08-21,22:29:00
230,Bricking Wind,Lego Masters,2.0,2021-08-18,01:49:00
231,Semifinals 2,American Ninja Warrior,13.0,2021-08-16,23:47:00
232,Re-Making Memories,Making It,3.0,2021-08-15,23:49:00
233,Quarterfinals Results 1,America's Got Talent,16.0,2021-08-13,23:19:00
234,Quarterfinals 1,America's Got Talent,16.0,2021-08-13,23:19:00
239,Make Yourself at Home,Making It,3.0,2021-07-23,23:42:00
240,Episode 205,Mental Samurai,2.0,2021-07-23,00:26:00
241,Episode 204,Mental Samurai,2.0,2021-07-23,00:26:00
242,Episode 203,Mental Samurai,2.0,2021-07-22,23:36:00
243,Demolition Derby,Lego Masters,2.0,2021-07-22,22:49:00
244,From the Window to the Taj Mah-Wall,Ellen's Game of Games,4.0,2021-07-22,02:57:00
245,Semifinals 1,American Ninja Warrior,13.0,2021-07-22,02:46:00
246,Auditions 8,America's Got Talent,16.0,2021-07-21,23:09:00
247,Auditions 3,America's Got Talent,16.0,2021-07-21,02:45:00
248,Auditions 5,America's Got Talent,16.0,2021-07-21,02:32:00
249,Auditions 2,America's Got Talent,16.0,2021-07-19,00:51:00
250,Auditions 4,America's Got Talent,16.0,2021-07-18,21:30:00
251,Auditions 6,America's Got Talent,16.0,2021-07-18,19:58:00
252,Auditions 7,America's Got Talent,16.0,2021-07-17,19:47:00
253,All the Holidays at Once,Making It,3.0,2021-07-17,17:53:00
254,Qualifiers 5,American Ninja Warrior,13.0,2021-07-14,03:18:00
256,Expand Your World,Making It,3.0,2021-07-10,01:54:00
257,One Floating Brick,Lego Masters,2.0,2021-07-09,03:30:00
258,Random Crafts of Kindness,Making It,3.0,2021-07-03,01:10:00
259,Qualifiers 4,American Ninja Warrior,13.0,2021-06-30,00:31:00
260,Qualifiers 3,American Ninja Warrior,13.0,2021-06-29,12:59:00
261,One in a Million,Making It,3.0,2021-06-26,12:24:00
262,Hats Incredible!,Lego Masters,2.0,2021-06-26,02:54:00
263,Make and Shake,Lego Masters,2.0,2021-06-25,02:43:00
264,Zoey's Extraordinary Return,Zoey's Extraordinary Playlist,2.0,2021-06-22,01:39:00
265,Qualifiers 2,American Ninja Warrior,13.0,2021-06-13,01:23:00
266,Episode 202,Mental Samurai,2.0,2021-06-12,01:52:00
267,Hero Shot!,Lego Masters,2.0,2021-06-12,01:51:00
268,Qualifiers 1,American Ninja Warrior,13.0,2021-06-04,02:56:00
269,Episode 201,Mental Samurai,2.0,2021-06-03,00:28:00
270,LEGO Day Parade,Lego Masters,2.0,2021-06-02,23:45:00
271,Anya Taylor-Joy,Saturday Night Live,46.0,2021-05-28,00:25:00
272,Finale,The Masked Singer,5.0,2021-05-28,00:25:00
273,If This Be… M.O.D.O.K.!,Marvel's M.O.D.O.K.,1.0,2021-05-22,23:45:00
274,Central Regional Finals,The Titan Games,2.0,2021-05-21,00:39:00
275,Semifinals,The Masked Singer,5.0,2021-05-21,00:39:00
276,No Better Than Dogs,Big Sky,1.0,2021-05-19,23:36:00
277,All Kinds of Snakes,Big Sky,1.0,2021-05-19,22:46:00
278,Keegan-Michael Key,Saturday Night Live,46.0,2021-05-17,02:27:00
279,The American Ninja Warrior Women's Championship,American Ninja Warrior,12.0,2021-05-16,03:13:00
280,The Quarter Finals - Five Fan Favorites,The Masked Singer,5.0,2021-05-14,01:52:00
281,Central Region 2: The Rock Meets Doc Thor,The Titan Games,2.0,2021-05-08,18:22:00
282,The Titan Games Premiere,The Titan Games,2.0,2021-05-08,17:25:00
283,Finals 2,American Ninja Warrior,12.0,2021-05-08,15:45:00
284,The Spicy 6 - The Competition Heats Up!,The Masked Singer,5.0,2021-05-08,15:03:00
285,The Sing-A-Long: The Maskie Awards,The Masked Singer,5.0,2021-05-01,03:27:00
286,Finals 1,American Ninja Warrior,12.0,2021-04-26,00:49:00
287,Carey Mulligan,Saturday Night Live,46.0,2021-04-24,01:19:00
288,Guess Who's Coming to the Wedding?,The Golden Girls,1.0,2021-04-23,03:16:00
289,Super 8 - The Plot Chickens!,The Masked Singer,5.0,2021-04-23,03:16:00
290,Fight or Flight,Snowfall,4.0,2021-04-23,00:17:00
291,Catastrophic Thinking,Big Sky,1.0,2021-04-19,01:32:00
292,Group A Finals - In the Nick of Time!,The Masked Singer,5.0,2021-04-17,23:39:00
293,Sleeping Dogs,Snowfall,4.0,2021-04-16,00:02:00
294,Betrayal,Snowfall,4.0,2021-04-12,00:46:00
295,The Quantum Ring,Solar Opposites,1.0,2021-04-04,22:50:00
296,The Unstable Grey Hole,Solar Opposites,1.0,2021-04-04,22:50:00
297,Maya Rudolph,Saturday Night Live,46.0,2021-04-04,17:08:00
298,Daniel Kaluuya,Saturday Night Live,46.0,2021-04-04,17:07:00
299,The Spark,Little Fires Everywhere,1.0,2021-04-02,07:51:00
300,"Through a Glass, Darkly",Snowfall,4.0,2021-04-02,01:18:00
301,The Autumn of Break-Ups,How I Met Your Mother,8.0,2021-03-29,19:21:00
302,Who Wants to Be a Godparent?,How I Met Your Mother,8.0,2021-03-29,19:07:00
303,Nannies,How I Met Your Mother,8.0,2021-03-29,18:33:00
308,Say a Little Prayer,Snowfall,4.0,2021-03-26,01:09:00
309,The Get Back,Snowfall,4.0,2021-03-19,00:32:00
310,Pilot,Mom,1.0,2021-03-17,05:22:00
311,"Last Forever, Part 2",How I Met Your Mother,9.0,2021-03-17,05:22:00
312,"Last Forever, Part 1",How I Met Your Mother,9.0,2021-03-17,04:55:00
313,The End of the Aisle,How I Met Your Mother,9.0,2021-03-16,08:08:00
314,Gary Blauman,How I Met Your Mother,9.0,2021-03-16,07:44:00
315,Daisy,How I Met Your Mother,9.0,2021-03-16,07:22:00
316,Vesuvius,How I Met Your Mother,9.0,2021-03-16,06:57:00
317,Rally,How I Met Your Mother,9.0,2021-03-16,05:29:00
318,Sunrise,How I Met Your Mother,9.0,2021-03-16,05:08:00
319,How Your Mother Met Me,How I Met Your Mother,9.0,2021-03-16,04:43:00
320,Unpause,How I Met Your Mother,9.0,2021-03-14,10:36:00
321,Slapsgiving 3: Slappointment in Slapmarra,How I Met Your Mother,9.0,2021-03-14,07:52:00
322,Bass Player Wanted,How I Met Your Mother,9.0,2021-03-14,07:25:00
323,The Rehearsal Dinner,How I Met Your Mother,9.0,2021-03-14,06:59:00
324,Expansion,Snowfall,4.0,2021-03-12,01:10:00
325,Bedtime Stories,How I Met Your Mother,9.0,2021-03-11,09:26:00
326,Mom and Dad,How I Met Your Mother,9.0,2021-03-11,08:59:00
327,Platonish,How I Met Your Mother,9.0,2021-03-11,06:48:00
328,The Lighthouse,How I Met Your Mother,9.0,2021-03-11,06:24:00
329,No Questions Asked,How I Met Your Mother,9.0,2021-03-11,05:56:00
330,Knight Vision,How I Met Your Mother,9.0,2021-03-11,05:29:00
331,The Poker Game,How I Met Your Mother,9.0,2021-03-11,05:06:00
332,The Broken Code,How I Met Your Mother,9.0,2021-03-11,04:30:00
333,Last Time in New York,How I Met Your Mother,9.0,2021-03-08,08:54:00
334,Coming Back,How I Met Your Mother,9.0,2021-03-08,08:28:00
335,The Locket,How I Met Your Mother,9.0,2021-03-07,07:22:00
336,Something New,How I Met Your Mother,8.0,2021-03-07,06:57:00
337,Something Old,How I Met Your Mother,8.0,2021-03-07,06:30:00
338,The Bro Mitzvah,How I Met Your Mother,8.0,2021-03-07,06:04:00
339,Romeword Bound,How I Met Your Mother,8.0,2021-03-07,05:39:00
340,Weekend at Barney's,How I Met Your Mother,8.0,2021-03-07,05:36:00
341,The Time Travelers,How I Met Your Mother,8.0,2021-03-05,10:01:00
342,The Fortress,How I Met Your Mother,8.0,2021-03-05,09:36:00
343,The Ashtray,How I Met Your Mother,8.0,2021-03-05,08:18:00
344,Bad Crazy,How I Met Your Mother,8.0,2021-03-05,07:55:00
345,P.S. I Love You,How I Met Your Mother,8.0,2021-03-05,07:28:00
